所属区,初中学校代码,初中学校名称,招生高中名称,招生高中代码,分配名额数
静安区,64001,上海市华东模范中学,上海市育才中学,62002,3
静安区,64001,上海市华东模范中学,上海市新中高级中学,62003,3
静安区,64001,上海市华东模范中学,上海市市北中学,62004,3
静安区,64001,上海市华东模范中学,上海市回民中学,62011,2
静安区,64001,上海市华东模范中学,上海市第六十中学,63004,2
静安区,64001,上海市华东模范中学,上海市华东模范中学,64001,2
静安区,64001,上海市华东模范中学,上海交通大学附属中学,102056,1
静安区,64003,同济大学附属七一中学,上海市市西中学,62001,5
静安区,64003,同济大学附属七一中学,上海市育才中学,62002,5
静安区,64003,同济大学附属七一中学,上海市新中高级中学,62003,5
静安区,64003,同济大学附属七一中学,上海市市北中学,62004,6
静安区,64003,同济大学附属七一中学,上海市回民中学,62011,3
静安区,64003,同济大学附属七一中学,上海市第六十中学,63004,4
静安区,64003,同济大学附属七一中学,上海市华东模范中学,64001,3
静安区,64003,同济大学附属七一中学,上海交通大学附属中学,102056,1
静安区,64007,上海市向东中学,上海市市西中学,62001,2
静安区,64007,上海市向东中学,上海市育才中学,62002,2
静安区,64007,上海市向东中学,上海市新中高级中学,62003,2
静安区,64007,上海市向东中学,上海市市北中学,62004,2
静安区,64007,上海市向东中学,上海市回民中学,62011,1
静安区,64007,上海市向东中学,上海市第六十中学,63004,2
静安区,64007,上海市向东中学,上海市华东模范中学,64001,1
静安区,64007,上海市向东中学,复旦大学附属中学,102057,1
静安区,64020,上海市田家炳中学,上海市市西中学,62001,4
静安区,64020,上海市田家炳中学,上海市育才中学,62002,4
静安区,64020,上海市田家炳中学,上海市新中高级中学,62003,4
静安区,64020,上海市田家炳中学,上海市市北中学,62004,4
静安区,64020,上海市田家炳中学,上海市回民中学,62011,3
静安区,64020,上海市田家炳中学,上海市第六十中学,63004,3
静安区,64020,上海市田家炳中学,上海市华东模范中学,64001,2
静安区,64021,上海市民办扬波中学,上海市市西中学,62001,6
静安区,64021,上海市民办扬波中学,上海市育才中学,62002,5
静安区,64021,上海市民办扬波中学,上海市新中高级中学,62003,5
静安区,64021,上海市民办扬波中学,上海市市北中学,62004,6
静安区,64021,上海市民办扬波中学,上海市回民中学,62011,3
静安区,64021,上海市民办扬波中学,上海市第六十中学,63004,4
静安区,64021,上海市民办扬波中学,上海市华东模范中学,64001,3
静安区,64021,上海市民办扬波中学,上海市上海中学,42032,1
静安区,64023,上海市民办新和中学,上海市市西中学,62001,4
静安区,64023,上海市民办新和中学,上海市育才中学,62002,4
静安区,64023,上海市民办新和中学,上海市新中高级中学,62003,4
静安区,64023,上海市民办新和中学,上海市市北中学,62004,5
静安区,64023,上海市民办新和中学,上海市回民中学,62011,3
静安区,64023,上海市民办新和中学,上海市第六十中学,63004,3
静安区,64023,上海市民办新和中学,上海市华东模范中学,64001,3
静安区,64023,上海市民办新和中学,复旦大学附属中学,102057,1
静安区,64024,上海市民办风范中学,上海市市西中学,62001,2
静安区,64024,上海市民办风范中学,上海市育才中学,62002,2
静安区,64024,上海市民办风范中学,上海市新中高级中学,62003,2
静安区,64024,上海市民办风范中学,上海市市北中学,62004,2
静安区,64024,上海市民办风范中学,上海市回民中学,62011,2
静安区,64024,上海市民办风范中学,上海市第六十中学,63004,2
静安区,64024,上海市民办风范中学,上海市华东模范中学,64001,2
静安区,64024,上海市民办风范中学,上海交通大学附属中学,102056,1
静安区,65001,上海市爱国学校,上海市市西中学,62001,2
静安区,65001,上海市爱国学校,上海市育才中学,62002,2
静安区,65001,上海市爱国学校,上海市新中高级中学,62003,2
静安区,65001,上海市爱国学校,上海市市北中学,62004,2
静安区,65001,上海市爱国学校,上海市回民中学,62011,1
静安区,65001,上海市爱国学校,上海市第六十中学,63004,2
静安区,65001,上海市爱国学校,上海市华东模范中学,64001,2
静安区,65002,上海市静安区教育学院附属学校,上海市市西中学,62001,5
静安区,65002,上海市静安区教育学院附属学校,上海市育才中学,62002,4
静安区,65002,上海市静安区教育学院附属学校,上海市新中高级中学,62003,4
静安区,65002,上海市静安区教育学院附属学校,上海市市北中学,62004,5
静安区,65002,上海市静安区教育学院附属学校,上海市回民中学,62011,3
静安区,65002,上海市静安区教育学院附属学校,上海市第六十中学,63004,3
静安区,65002,上海市静安区教育学院附属学校,上海市华东模范中学,64001,3
静安区,65002,上海市静安区教育学院附属学校,复旦大学附属中学,102057,1
静安区,65056,上海市华灵学校,上海市市西中学,62001,2
静安区,65056,上海市华灵学校,上海市育才中学,62002,2
静安区,65056,上海市华灵学校,上海市新中高级中学,62003,2
静安区,65056,上海市华灵学校,上海市市北中学,62004,2
静安区,65056,上海市华灵学校,上海市回民中学,62011,2
静安区,65056,上海市华灵学校,上海市第六十中学,63004,2
静安区,65056,上海市华灵学校,上海市华东模范中学,64001,2
静安区,65056,上海市华灵学校,上海交通大学附属中学,102056,1
静安区,65057,上海市三泉学校,上海市市西中学,62001,3
静安区,65057,上海市三泉学校,上海市育才中学,62002,3
静安区,65057,上海市三泉学校,上海市新中高级中学,62003,3
静安区,65057,上海市三泉学校,上海市市北中学,62004,3
静安区,65057,上海市三泉学校,上海市回民中学,62011,2
静安区,65057,上海市三泉学校,上海市第六十中学,63004,2
静安区,65057,上海市三泉学校,上海市华东模范中学,64001,2
静安区,65058,上海戏剧学院附属静安学校,上海市市西中学,62001,2
静安区,65058,上海戏剧学院附属静安学校,上海市育才中学,62002,2
