区县,高中学校,录取分数线,是否完成,招生计划数,总分,语文,数学,英语
杨浦区,上海市杨浦高级中学,733.5,否,50,400,136,125,139
杨浦区,上海市控江中学,751.5,否,50,415,141,128,140
杨浦区,上海交通大学附属中学,757,否,50,414,134,134,147
杨浦区,复旦大学附属中学,760,否,50,424,144,135,140
杨浦区,同济大学第一附属中学,728,否,50,401,136,126,134
杨浦区,上海市七宝中学,747.5,否,50,407.5,142,121,142
杨浦区,华东师范大学第二附属中学闵行紫竹分校,754,否,50,421.5,150,130,141
杨浦区,上海师范大学附属中学闵行分校,729.5,否,50,405,137,126,131
杨浦区,上海交通大学附属中学闵行分校,748,否,50,415,142,134,143
杨浦区,上海市闵行中学,710.5,否,50,381.5,131,115,136
杨浦区,上海市行知中学,728,否,50,406,140,127,127
杨浦区,上海大学附属中学,706,否,50,398,138,129,122
杨浦区,上海师范大学附属中学宝山分校,717.5,否,50,387.5,138,114,134
杨浦区,上海市吴淞中学,705,否,50,386,124,122,123
杨浦区,华东师范大学第二附属中学（宝山校区）,755.5,否,50,422.5,143,135,139
杨浦区,上海市嘉定区第一中学,721,否,50,396,127,131,129
杨浦区,上海交通大学附属中学嘉定分校,746,否,50,419,139,135,138
杨浦区,上海师范大学附属中学嘉定新城分校,731.5,否,50,402.5,143,118,135
杨浦区,上海中学东校,737,否,50,402.5,136,125,143
杨浦区,上海市建平中学,746,否,50,405,139,125,147
杨浦区,上海市进才中学,746,否,50,410.5,138,128,140
杨浦区,华东师范大学第二附属中学,740.5,否,50,408,144,122,137
杨浦区,上海南汇中学,708.5,否,50,380.5,120,127,132
杨浦区,上海市浦东复旦附中分校,752.5,否,50,413.5,146,127,144
杨浦区,上海市洋泾中学,719.5,否,50,388.5,127,121,136
杨浦区,上海市高桥中学,711.5,否,50,376.5,133,119,134
杨浦区,上海市川沙中学,721,否,50,391,136,115,134
杨浦区,上海市金山中学,730.5,否,50,399.5,135,126,131
杨浦区,华东师范大学第三附属中学,697.5,否,50,378.5,121,125,126
杨浦区,上海市松江二中,740.5,否,50,401.5,137,125,146
杨浦区,华东师范大学第二附属中学松江分校,754,否,50,417,150,124,141
杨浦区,上海市松江一中,720,否,50,395.5,134,120,133
杨浦区,上海外国语大学附属外国语学校松江云间中学,738.5,否,50,400,128,132,141
杨浦区,上海市青浦高级中学,725,否,50,397.5,131,128,135
杨浦区,复旦大学附属中学青浦分校,757,否,50,413,141,128,140
杨浦区,上海市朱家角中学,685.5,否,50,366,124,120,132
杨浦区,上海市奉贤中学,734.5,否,50,406.5,143,130,132
杨浦区,华东师范大学第二附属中学临港奉贤分校,737.5,否,50,412.5,139,131,129
杨浦区,上海市崇明中学,702.5,否,50,384.5,122,124,125
杨浦区,上海市实验学校东滩高级中学,712.5,否,50,395.5,124,132,127
松江区,上海市格致中学,743.5,否,50,410.5,137,133,141
松江区,上海市大同中学,733,否,50,400.5,122,133,140
松江区,上海市光明中学,698.5,否,50,375.5,120,116,134
松江区,上海市敬业中学,724,否,50,399,123,131,131
松江区,上海市卢湾高级中学,711.5,否,50,388,128,126,125
松江区,上海市第二中学,726,否,50,408,134,135,126
松江区,上海市南洋模范中学,754,否,50,415,141,135,141
松江区,上海市上海中学,764,否,50,419,149,124,147
松江区,上海市位育中学,746.5,否,50,413.5,133,137,138
松江区,复旦大学附属中学徐汇分校,756,否,50,423.5,147,128,136
松江区,上海市南洋中学,717,否,50,386,134,116,141
松江区,上海市第三女子中学,720,否,50,398,125,127,130
松江区,上海市延安中学,747,否,50,410,134,135,139
松江区,上海市复旦中学,729.5,否,50,390.5,121,130,144
松江区,上海市育才中学,720,否,50,397,123,130,126
松江区,上海市回民中学,685,否,50,377,116,129,112
松江区,上海市华东模范中学,681,否,50,358.5,122,108,138
松江区,上海市晋元高级中学,722.5,否,50,407.5,137,130,122
松江区,上海市曹杨第二中学,750,否,50,414,140,131,142
松江区,上海市宜川中学,710.5,否,50,390.5,143,122,132
松江区,华东师范大学第一附属中学,727,否,50,392,141,123,140
松江区,上海财经大学附属北郊高级中学,660,否,50,354,107,107,118
松江区,上海市杨浦高级中学,723,否,50,404,128,133,125
松江区,上海市控江中学,770,否,50,424,149,133,147
松江区,上海交通大学附属中学,760,否,50,418,137,134,143
松江区,复旦大学附属中学,763,否,50,422.5,150,129,143
松江区,上海市七宝中学,756,否,50,417,144,130,143
松江区,上海师范大学附属中学闵行分校,736,否,50,403,136,126,139
松江区,上海交通大学附属中学闵行分校,760.5,否,50,421.5,146,131,143
松江区,上海市闵行中学,717.5,否,50,405.5,140,133,122
松江区,上海市行知中学,719,否,50,393,137,119,137
松江区,上海大学附属中学,718.5,否,50,398.5,130,128,125
松江区,上海市吴淞中学,700.5,否,50,393,129,123,118
