序号,学校全称,招生代码,所属区,办别,学校类型,备注
205,上海市育民中学,154015,浦东新区,公办,一般高中,
206,上海第二工业大学附属龚路中学,154017,浦东新区,公办,一般高中,
207,上海市江镇中学,154020,浦东新区,公办,一般高中,
208,华东师范大学张江实验中学,154024,浦东新区,公办,一般高中,
209,上海市三林中学东校,154026,浦东新区,公办,一般高中,
210,上海市川沙中学北校,154028,浦东新区,公办,一般高中,
211,上海市浦东新区民办浦实高级中学,154033,浦东新区,民办,一般高中,
212,上海市民办育辛高级中学,154037,浦东新区,民办,一般高中,
213,上海市民办丰华高级中学,154039,浦东新区,民办,一般高中,
214,上海市高东中学,154045,浦东新区,公办,一般高中,
215,上海市祝桥高级中学,154047,浦东新区,公办,一般高中,
216,民办上海工商外国语职业学院附属中学,154048,浦东新区,民办,一般高中,
217,上海市老港中学,154051,浦东新区,公办,一般高中,
218,上海市泥城中学,154052,浦东新区,公办,一般高中,
219,上海市吴迅中学,154053,浦东新区,公办,一般高中,
220,上海市长岛中学,155002,浦东新区,公办,一般高中,
221,上海市民办平和学校,155008,浦东新区,民办,一般高中,国际课程班
222,上海市民办金苹果学校,155013,浦东新区,民办,一般高中,
223,上海浦东新区民办东鼎外国语学校,155041,浦东新区,民办,一般高中,
224,上海市民办尚德实验学校,155043,浦东新区,民办,一般高中,含国际课程班
225,上海浦东新区民办沪港学校,155047,浦东新区,民办,一般高中,
226,上海民办华曜浦东实验学校,155049,浦东新区,民办,一般高中,
227,上海浦东新区民办万科学校,155050,浦东新区,民办,一般高中,
228,上海浦东新区民办惠立学校,155052,浦东新区,民办,一般高中,
229,上海浦东新区民办宏文学校,155053,浦东新区,民办,一般高中,
230,上海浦东民办未来科技学校,155055,浦东新区,民办,一般高中,
231,上海浦东新区民办康德学校,155056,浦东新区,民办,一般高中,
232,上海浦东新区民办籽奥高级中学,155057,浦东新区,民办,一般高中,
233,上海市金山中学,162000,金山区,公办,市实验性示范性高中,
234,华东师范大学第三附属中学,163002,金山区,公办,市实验性示范性高中,
235,上海师范大学第二附属中学,163001,金山区,公办,区实验性示范性高中(市特色普通高中),
236,华东师范大学附属枫泾中学,164000,金山区,公办,区实验性示范性高中(市特色普通高中),
237,上海市张堰中学,163000,金山区,公办,区实验性示范性高中,
238,上海体育大学附属金山亭林中学,164002,金山区,公办,区实验性示范性高中,
239,上海市民办交大南洋中学,164005,金山区,民办,一般高中,
240,上海枫叶双语学校,164006,金山区,民办,一般高中,国际课程班
241,上海市民办永昌中学,164008,金山区,民办,一般高中,
242,上海金山区世外学校,165004,金山区,民办,一般高中,
243,上海市松江二中,172001,松江区,公办,市实验性示范性高中,
244,上海市松江一中,173001,松江区,公办,市实验性示范性高中,
245,华东师范大学第二附属中学松江分校,172002,松江区,公办,享受市实验性示范性高中招生政策高中,
246,上海外国语大学附属外国语学校松江云间中学,174003,松江区,公办,享受市实验性示范性高中招生政策高中,
247,上海师范大学附属中学松江分校,172004,松江区,公办,享受市实验性示范性高中招生政策高中,
248,上海师范大学附属外国语中学,174009,松江区,公办,区实验性示范性高中,
249,华东师范大学松江实验高级中学,174016,松江区,公办,区实验性示范性高中,
