district,high_school_code,seats,year,total_admission_score,chinese_admission_score,math_admission_score,english_admission_score,physics_admission_score,chemistry_admission_score,politics_admission_score,history_admission_score
虹口区,152001,10,2025,742.5,136.0,129.0,137.0,,,,
虹口区,152002,3,2025,737.5,138.0,120.0,137.0,,,,
虹口区,152004,8,2025,697.0,132.0,119.0,117.0,,,,
虹口区,153001,7,2025,711.0,141.0,115.0,133.0,,,,
虹口区,153004,4,2025,678.5,117.0,121.0,114.0,,,,
虹口区,153005,9,2025,710.5,131.0,124.0,128.0,,,,
虹口区,151078,4,2025,731.0,140.0,124.0,132.0,,,,
虹口区,152005,4,2025,748.5,139.0,132.0,135.0,,,,
虹口区,162000,1,2025,704.5,136.0,105.0,135.0,,,,
虹口区,163002,3,2025,674.5,116.0,114.0,113.0,,,,
虹口区,172001,2,2025,735.5,130.0,141.0,132.0,,,,
虹口区,173001,4,2025,689.5,126.0,118.0,120.0,,,,
虹口区,174003,2,2025,719.0,130.0,123.0,130.0,,,,
虹口区,182001,4,2025,697.5,121.0,120.0,133.0,,,,
虹口区,183002,4,2025,656.0,115.0,103.0,128.0,,,,
虹口区,182002,3,2025,752.5,141.0,131.0,144.0,,,,
虹口区,202001,2,2025,717.5,124.0,122.0,134.0,,,,
虹口区,202002,1,2025,718.5,132.0,129.0,128.0,,,,
虹口区,512000,2,2025,706.5,118.0,133.0,129.0,,,,
虹口区,512001,3,2025,708.5,128.0,121.0,132.0,,,,
黄浦区,042032,8,2025,761.5,147.0,132.0,136.0,,,,
黄浦区,102056,9,2025,762.5,145.0,127.0,144.0,,,,
黄浦区,102057,10,2025,757.5,140.0,131.0,145.0,,,,
黄浦区,152003,11,2025,755.0,144.0,132.0,135.0,,,,
黄浦区,012001,3,2025,747.5,138.0,127.0,143.0,,,,
黄浦区,012003,3,2025,746.0,143.0,129.0,133.0,,,,
黄浦区,012005,2,2025,732.0,137.0,133.0,134.0,,,,
黄浦区,012007,3,2025,709.0,135.0,121.0,127.0,,,,
黄浦区,012008,3,2025,691.0,118.0,123.0,117.0,,,,
黄浦区,012009,3,2025,719.5,134.0,117.0,134.0,,,,
黄浦区,012010,3,2025,709.0,120.0,125.0,132.0,,,,
黄浦区,012002,20,2025,,,,,,,,
黄浦区,012006,15,2025,,,,,,,,
黄浦区,042001,6,2025,723.5,132.0,125.0,134.0,,,,
黄浦区,042008,8,2025,756.0,138.0,133.0,142.0,,,,
黄浦区,042035,3,2025,739.5,134.0,130.0,134.0,,,,
黄浦区,043015,3,2025,728.0,135.0,125.0,136.0,,,,
黄浦区,052001,3,2025,709.5,122.0,129.0,123.0,,,,
黄浦区,052002,3,2025,737.0,133.0,128.0,136.0,,,,
黄浦区,053004,2,2025,693.5,131.0,119.0,121.0,,,,
黄浦区,062001,6,2025,733.5,127.0,127.0,135.0,,,,
黄浦区,062002,2,2025,706.5,118.0,127.0,131.0,,,,
黄浦区,062004,5,2025,719.5,130.0,125.0,124.0,,,,
黄浦区,062011,1,2025,691.5,121.0,127.0,123.0,,,,
黄浦区,063004,3,2025,680.5,129.0,118.0,116.0,,,,
黄浦区,064001,2,2025,678.0,119.0,121.0,116.0,,,,
黄浦区,072002,2,2025,758.0,146.0,127.0,143.0,,,,
黄浦区,073003,3,2025,694.5,118.0,130.0,115.0,,,,
黄浦区,073082,3,2025,,,,,,,,
黄浦区,092002,2,2025,719.5,139.0,119.0,128.0,,,,
黄浦区,102004,3,2025,722.5,138.0,119.0,130.0,,,,
黄浦区,102032,7,2025,732.5,136.0,129.0,133.0,,,,
黄浦区,122001,5,2025,748.5,141.0,130.0,137.0,,,,
黄浦区,123001,2,2025,705.5,133.0,128.0,121.0,,,,
黄浦区,122002,2,2025,748.0,146.0,125.0,136.5,,,,
黄浦区,122003,5,2025,720.5,134.0,129.0,141.0,,,,
黄浦区,132001,2,2025,717.0,136.0,126.0,128.0,,,,
黄浦区,132002,2,2025,707.5,133.0,121.0,125.0,,,,
黄浦区,133001,1,2025,695.0,120.0,122.0,124.0,,,,
黄浦区,133003,3,2025,,,,,,,,
黄浦区,142001,5,2025,725.5,128.0,124.0,141.0,,,,
黄浦区,142002,4,2025,747.5,138.0,130.0,139.0,,,,
黄浦区,152001,10,2025,750.5,143.0,122.0,146.0,,,,
黄浦区,152002,7,2025,741.0,141.0,129.0,139.0,,,,
