code,name,district,type,ownership_type,full_type,address,phone,email,features,faculty,note,created_at,updated_at
151087,上海市浦东外国语学校东校,浦东新区,一般高中,公办,一般高中,,,,,,,,
151082,上海民办光华中学,浦东新区,一般高中,民办,一般高中,,,,,,,,
152007,上海市建平中学筠溪分校,浦东新区,一般高中,公办,一般高中,,,,,,,,
152008,上海市进才中学根林分校,浦东新区,一般高中,公办,一般高中,,,,,,,,
152009,上海市川沙中学友仁分校,浦东新区,一般高中,公办,一般高中,,,,,,,,
154008,上海市泾南中学,浦东新区,一般高中,公办,一般高中,,,,,,,,
154010,上海市沪新中学,浦东新区,一般高中,公办,一般高中,,,,,,,,
154015,上海市育民中学,浦东新区,一般高中,公办,一般高中,,,,,,,,
154017,上海第二工业大学附属龚路中学,浦东新区,一般高中,公办,一般高中,,,,,,,,
154020,上海市江镇中学,浦东新区,一般高中,公办,一般高中,,,,,,,,
154024,华东师范大学张江实验中学,浦东新区,一般高中,公办,一般高中,,,,,,,,
154026,上海市三林中学东校,浦东新区,一般高中,公办,一般高中,,,,,,,,
154028,上海市川沙中学北校,浦东新区,一般高中,公办,一般高中,,,,,,,,
154033,上海市浦东新区民办浦实高级中学,浦东新区,一般高中,民办,一般高中,,,,,,,,
154037,上海市民办育辛高级中学,浦东新区,一般高中,民办,一般高中,,,,,,,,
154039,上海市民办丰华高级中学,浦东新区,一般高中,民办,一般高中,,,,,,,,
154045,上海市高东中学,浦东新区,一般高中,公办,一般高中,,,,,,,,
154047,上海市祝桥高级中学,浦东新区,一般高中,公办,一般高中,,,,,,,,
154048,民办上海工商外国语职业学院附属中学,浦东新区,一般高中,民办,一般高中,,,,,,,,
154051,上海市老港中学,浦东新区,一般高中,公办,一般高中,,,,,,,,
154052,上海市泥城中学,浦东新区,一般高中,公办,一般高中,,,,,,,,
154053,上海市吴迅中学,浦东新区,一般高中,公办,一般高中,,,,,,,,
155002,上海市长岛中学,浦东新区,一般高中,公办,一般高中,,,,,,,,
155008,上海市民办平和学校,浦东新区,一般高中,民办,一般高中,,,,,,国际课程班,,
155013,上海市民办金苹果学校,浦东新区,一般高中,民办,一般高中,,,,,,,,
155041,上海浦东新区民办东鼎外国语学校,浦东新区,一般高中,民办,一般高中,,,,,,,,
155043,上海市民办尚德实验学校,浦东新区,一般高中,民办,一般高中,,,,,,含国际课程班,,
155047,上海浦东新区民办沪港学校,浦东新区,一般高中,民办,一般高中,,,,,,,,
155049,上海民办华曜浦东实验学校,浦东新区,一般高中,民办,一般高中,,,,,,,,
155050,上海浦东新区民办万科学校,浦东新区,一般高中,民办,一般高中,,,,,,,,
155052,上海浦东新区民办惠立学校,浦东新区,一般高中,民办,一般高中,,,,,,,,
155053,上海浦东新区民办宏文学校,浦东新区,一般高中,民办,一般高中,,,,,,,,
155055,上海浦东民办未来科技学校,浦东新区,一般高中,民办,一般高中,,,,,,,,
155056,上海浦东新区民办康德学校,浦东新区,一般高中,民办,一般高中,,,,,,,,
155057,上海浦东新区民办籽奥高级中学,浦东新区,一般高中,民办,一般高中,,,,,,,,
162000,上海市金山中学,金山区,市重点,公办,市实验性示范性高中,,,,,,,,
163002,华东师范大学第三附属中学,金山区,市重点,公办,市实验性示范性高中,,,,,,,,
163001,上海师范大学第二附属中学,金山区,区重点,公办,区实验性示范性高中(市特色普通高中),,,,,,,,
164000,华东师范大学附属枫泾中学,金山区,区重点,公办,区实验性示范性高中(市特色普通高中),,,,,,,,
163000,上海市张堰中学,金山区,区重点,公办,区实验性示范性高中,,,,,,,,
164002,上海体育大学附属金山亭林中学,金山区,区重点,公办,区实验性示范性高中,,,,,,,,
164005,上海市民办交大南洋中学,金山区,一般高中,民办,一般高中,,,,,,,,
164006,上海枫叶双语学校,金山区,一般高中,民办,一般高中,,,,,,国际课程班,,
164008,上海市民办永昌中学,金山区,一般高中,民办,一般高中,,,,,,,,
165004,上海金山区世外学校,金山区,一般高中,民办,一般高中,,,,,,,,
172001,上海市松江二中,松江区,市重点,公办,市实验性示范性高中,,,,,,,,
173001,上海市松江一中,松江区,市重点,公办,市实验性示范性高中,,,,,,,,
172002,华东师范大学第二附属中学松江分校,松江区,市重点,公办,享受市实验性示范性高中招生政策高中,,,,,,,,
174003,上海外国语大学附属外国语学校松江云间中学,松江区,市重点,公办,享受市实验性示范性高中招生政策高中,,,,,,,,
172004,上海师范大学附属中学松江分校,松江区,市重点,公办,享受市实验性示范性高中招生政策高中,,,,,,,,
174009,上海师范大学附属外国语中学,松江区,区重点,公办,区实验性示范性高中,,,,,,,,
174016,华东师范大学松江实验高级中学,松江区,区重点,公办,区实验性示范性高中,,,,,,,,
172003,华东政法大学附属松江高级中学,松江区,一般高中,公办,一般高中,,,,,,,,
173003,东华大学附属松江高级中学,松江区,一般高中,公办,一般高中,,,,,,,,
173002,上海市松江区科德高级中学,松江区,一般高中,民办,一般高中,,,,,,,,
174001,上海市松江区立达中学,松江区,一般高中,公办,一般高中,,,,,,,,
174002,上海市松江区第四中学,松江区,一般高中,公办,一般高中,,,,,,,,
174007,上海市松江区民办茸一中学,松江区,一般高中,民办,一般高中,,,,,,,,
174008,上海市松江九峰实验学校,松江区,一般高中,民办,一般高中,,,,,,,,
174013,上海领科双语学校,松江区,一般高中,民办,一般高中,,,,,,,,
175018,上海市西外外国语学校,松江区,一般高中,民办,一般高中,,,,,,含国际课程班,,
175021,上海民办包玉刚实验高中,松江区,一般高中,民办,一般高中,,,,,,国际课程班,,
175024,上海赫贤学校,松江区,一般高中,民办,一般高中,,,,,,,,
175025,上海松江区爱菊学校,松江区,一般高中,民办,一般高中,,,,,,,,
182001,上海市青浦高级中学,青浦区,市重点,公办,市实验性示范性高中,,,,,,,,
183002,上海市朱家角中学,青浦区,市重点,公办,市实验性示范性高中,,,,,,,,
182002,复旦大学附属中学青浦分校,青浦区,市重点,公办,享受市实验性示范性高中招生政策高中,,,,,,,,
184005,上海市青浦区第一中学,青浦区,区重点,公办,区实验性示范性高中(市特色普通高中),,,,,,,,
184003,上海市青浦区第二中学,青浦区,一般高中,公办,一般高中,,,,,,,,
184004,上海市青浦区东湖中学,青浦区,一般高中,公办,一般高中,,,,,,,,
184006,上海青浦区世外高级中学,青浦区,一般高中,民办,一般高中,,,,,,,,
184007,上海青浦区宏润博源高级中学,青浦区,一般高中,民办,一般高中,,,,,,,,
185008,上海宋庆龄学校,青浦区,一般高中,民办,一般高中,,,,,,,,
185014,上海青浦区协和双语学校,青浦区,一般高中,民办,一般高中,,,,,,,,
202001,上海市奉贤中学,奉贤区,市重点,公办,市实验性示范性高中,,,,,,,,
202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,市重点,公办,享受市实验性示范性高中招生政策高中,,,,,,,,
203002,华东理工大学附属奉贤曙光中学,奉贤区,区重点,公办,区实验性示范性高中(市特色普通高中),,,,,,,,
204001,东华大学附属奉贤致远中学,奉贤区,区重点,公办,区实验性示范性高中,,,,,,,,
204005,上海市奉贤区奉城高级中学,奉贤区,一般高中,公办,一般高中,,,,,,,,
204006,上海师范大学第四附属中学,奉贤区,一般高中,公办,一般高中,,,,,,,,
204008,上海市奉贤区景秀高级中学,奉贤区,一般高中,公办,一般高中,,,,,,,,
205006,上海奉贤区博华高级中学,奉贤区,一般高中,民办,一般高中,,,,,,,,
204020,上海美达菲双语高级中学,奉贤区,一般高中,民办,一般高中,,,,,,,,
512000,上海市崇明中学,崇明区,市重点,公办,市实验性示范性高中,,,,,,,,
512001,上海市实验学校东滩高级中学,崇明区,市重点,公办,享受市实验性示范性高中招生政策高中,,,,,,,,
514001,上海市崇明区城桥中学,崇明区,区重点,公办,区实验性示范性高中(市特色普通高中),,,,,,,,
513001,上海市崇明区民本中学,崇明区,区重点,公办,区实验性示范性高中,,,,,,,,
513009,上海市扬子中学,崇明区,区重点,公办,区实验性示范性高中,,,,,,,,
514004,上海市崇明区堡镇中学,崇明区,区重点,公办,区实验性示范性高中,,,,,,,,
514010,上海民办民一中学,崇明区,一般高中,民办,一般高中,,,,,,,,
514013,上海市崇明区横沙中学,崇明区,一般高中,公办,一般高中,,,,,,,,
042032,上海市上海中学,上海市,市重点,公办,市实验性示范性高中,,,,,,,,
092003,上海外国语大学附属外国语学校,上海市,市重点,公办,市实验性示范性高中,,,,,,,,
102056,上海交通大学附属中学,上海市,市重点,公办,市实验性示范性高中,,,,,,含国际课程班,,
102057,复旦大学附属中学,上海市,市重点,公办,市实验性示范性高中,,,,,,含国际课程班,,
152003,华东师范大学第二附属中学,上海市,市重点,公办,市实验性示范性高中,,,,,,含国际课程班,,
152006,上海师范大学附属中学,上海市,市重点,公办,市实验性示范性高中,,,,,,,,
155001,上海市实验学校,上海市,市重点,公办,市实验性示范性高中,,,,,,,,
155054,上海科技大学附属学校,上海市,一般高中,公办,一般高中,,,,,,,,
