序号,学校招生代码,学校名称,所属区,办别,学校类型,寄宿情况,计划区域,计划数
854,172001,上海市松江二中,松江区,公办,市实验性示范性高中,部分寄宿,杨浦,3
855,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,杨浦,4
856,172002,华东师范大学第二附属中学松江分校,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,杨浦,3
857,174003,上海外国语大学附属外国语学校松江云间中学,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,杨浦,1
858,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,杨浦,5
859,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,杨浦,6
860,182002,复旦大学附属中学青浦分校,青浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,杨浦,3
861,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,杨浦,2
862,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,杨浦,1
863,512000,上海市崇明中学,崇明区,公办,市实验性示范性高中,全部寄宿,杨浦,2
864,512001,上海市实验学校东滩高级中学,崇明区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,杨浦,3
865,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,长宁,9
866,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,长宁,8
867,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,长宁,9
868,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,长宁,9
869,152006,上海师范大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,长宁,2
870,012001,上海市格致中学,黄浦区,公办,市实验性示范性高中,部分寄宿,长宁,4
871,012005,上海市向明中学,黄浦区,公办,市实验性示范性高中,无寄宿,长宁,4
872,012007,上海外国语大学附属大境中学,黄浦区,公办,市实验性示范性高中,部分寄宿,长宁,2
873,012008,上海市光明中学,黄浦区,公办,市实验性示范性高中,无寄宿,长宁,2
874,042001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,长宁,6
875,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,长宁,6
876,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,长宁,3
877,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,长宁,3
878,052001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,长宁,5
879,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,长宁,6
880,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,长宁,5
881,062001,上海市市西中学,静安区,公办,市实验性示范性高中,无寄宿,长宁,7
882,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,长宁,2
883,062003,上海市新中高级中学,静安区,公办,市实验性示范性高中,部分寄宿,长宁,2
884,062004,上海市市北中学,静安区,公办,市实验性示范性高中,无寄宿,长宁,4
885,062011,上海市回民中学,静安区,公办,市实验性示范性高中,部分寄宿,长宁,1
886,063004,上海市第六十中学,静安区,公办,市实验性示范性高中,无寄宿,长宁,2
887,064001,上海市华东模范中学,静安区,公办,市实验性示范性高中,无寄宿,长宁,4
888,072001,上海市晋元高级中学,普陀区,公办,市实验性示范性高中,全部寄宿,长宁,2
889,072002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,长宁,6
890,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,长宁,5
891,073082,华东师范大学第二附属中学(普陀校区),普陀区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,长宁,5
892,092001,复旦大学附属复兴中学,虹口区,公办,市实验性示范性高中,部分寄宿,长宁,2
893,092002,华东师范大学第一附属中学,虹口区,公办,市实验性示范性高中,部分寄宿,长宁,1
894,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,长宁,3
895,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,长宁,3
896,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,长宁,4
897,122002,华东师范大学第二附属中学闵行紫竹分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,长宁,4
898,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,长宁,2
899,122004,上海交通大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,长宁,3
900,132001,上海市行知中学,宝山区,公办,市实验性示范性高中,部分寄宿,长宁,2
901,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,全部寄宿,长宁,2
902,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,长宁,1
903,132003,上海师范大学附属中学宝山分校,宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,长宁,2
904,133003,华东师范大学第二附属中学(宝山校区),宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,长宁,2
905,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,长宁,6
906,142002,上海交通大学附属中学嘉定分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,长宁,7
907,142004,上海师范大学附属中学嘉定新城分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,长宁,2
908,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,长宁,6
909,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,部分寄宿,长宁,7
910,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,长宁,10
911,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,长宁,5
912,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,长宁,4
913,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,长宁,7
914,151078,上海中学东校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,长宁,4
915,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,长宁,3
916,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,长宁,4
917,172001,上海市松江二中,松江区,公办,市实验性示范性高中,部分寄宿,长宁,2
918,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,长宁,5
919,174003,上海外国语大学附属外国语学校松江云间中学,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,长宁,1
920,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,长宁,4
921,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,长宁,4
922,182002,复旦大学附属中学青浦分校,青浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,长宁,3
923,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,长宁,2
924,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,长宁,3
925,512000,上海市崇明中学,崇明区,公办,市实验性示范性高中,全部寄宿,长宁,2
