序号,学校招生代码,学校名称,所属区,办别,学校类型,寄宿情况,计划区域,计划数
164,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,奉贤,6
165,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,奉贤,7
166,122004,上海交通大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,奉贤,6
167,132001,上海市行知中学,宝山区,公办,市实验性示范性高中,部分寄宿,奉贤,6
168,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,全部寄宿,奉贤,2
169,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,奉贤,4
170,133003,华东师范大学第二附属中学(宝山校区),宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,奉贤,2
171,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,奉贤,4
172,142004,上海师范大学附属中学嘉定新城分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,奉贤,5
173,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,奉贤,2
174,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,部分寄宿,奉贤,5
175,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,奉贤,15
176,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,奉贤,4
177,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,奉贤,6
178,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,奉贤,3
179,151078,上海中学东校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,奉贤,4
180,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,奉贤,3
181,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,奉贤,5
182,172001,上海市松江二中,松江区,公办,市实验性示范性高中,部分寄宿,奉贤,2
183,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,奉贤,7
184,172002,华东师范大学第二附属中学松江分校,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,奉贤,3
185,174003,上海外国语大学附属外国语学校松江云间中学,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,奉贤,2
186,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,奉贤,6
187,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,奉贤,6
188,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,奉贤,5
189,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,奉贤,2
190,512000,上海市崇明中学,崇明区,公办,市实验性示范性高中,全部寄宿,奉贤,3
191,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,虹口,7
192,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,虹口,19
193,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,虹口,13
194,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,虹口,11
195,012001,上海市格致中学,黄浦区,公办,市实验性示范性高中,部分寄宿,虹口,9
196,012007,上海外国语大学附属大境中学,黄浦区,公办,市实验性示范性高中,部分寄宿,虹口,3
197,012008,上海市光明中学,黄浦区,公办,市实验性示范性高中,无寄宿,虹口,3
198,012009,上海市敬业中学,黄浦区,公办,市实验性示范性高中,无寄宿,虹口,3
199,042001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,虹口,4
200,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,虹口,3
201,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,虹口,2
202,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,虹口,2
203,052001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,虹口,3
204,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,虹口,2
205,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,虹口,3
206,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,虹口,2
207,062003,上海市新中高级中学,静安区,公办,市实验性示范性高中,部分寄宿,虹口,6
208,062004,上海市市北中学,静安区,公办,市实验性示范性高中,无寄宿,虹口,5
209,062011,上海市回民中学,静安区,公办,市实验性示范性高中,部分寄宿,虹口,2
210,063004,上海市第六十中学,静安区,公办,市实验性示范性高中,无寄宿,虹口,6
211,064001,上海市华东模范中学,静安区,公办,市实验性示范性高中,无寄宿,虹口,2
212,072001,上海市晋元高级中学,普陀区,公办,市实验性示范性高中,全部寄宿,虹口,3
213,072002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,虹口,2
214,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,虹口,6
215,073082,华东师范大学第二附属中学(普陀校区),普陀区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,虹口,5
216,092001,复旦大学附属复兴中学,虹口区,公办,市实验性示范性高中,部分寄宿,虹口,8
217,092002,华东师范大学第一附属中学,虹口区,公办,市实验性示范性高中,部分寄宿,虹口,7
218,093001,上海财经大学附属北郊高级中学,虹口区,公办,市实验性示范性高中,无寄宿,虹口,6
219,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,虹口,10
220,102032,上海市控江中学,杨浦区,公办,市实验性示范性高中,部分寄宿,虹口,10
221,103002,同济大学第一附属中学,杨浦区,公办,市实验性示范性高中,部分寄宿,虹口,2
222,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,虹口,3
223,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,虹口,3
224,122002,华东师范大学第二附属中学闵行紫竹分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,虹口,3
225,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,虹口,3
226,132001,上海市行知中学,宝山区,公办,市实验性示范性高中,部分寄宿,虹口,5
227,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,全部寄宿,虹口,4
228,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,虹口,3
229,132003,上海师范大学附属中学宝山分校,宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,虹口,2
230,133003,华东师范大学第二附属中学(宝山校区),宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,虹口,4
231,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,虹口,2
232,142002,上海交通大学附属中学嘉定分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,虹口,12
233,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,虹口,10
234,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,部分寄宿,虹口,3
235,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,虹口,8
236,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,虹口,7
237,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,虹口,4
238,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,虹口,9
239,151078,上海中学东校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,虹口,4
240,152005,上海市浦东复旦附中分校,浦东新区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,虹口,4
241,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,虹口,1
242,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,虹口,3
243,172001,上海市松江二中,松江区,公办,市实验性示范性高中,部分寄宿,虹口,2
244,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,虹口,4
245,174003,上海外国语大学附属外国语学校松江云间中学,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,虹口,2
246,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,虹口,4
247,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,虹口,4
248,182002,复旦大学附属中学青浦分校,青浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,虹口,3
249,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,虹口,2
250,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,虹口,1
251,512000,上海市崇明中学,崇明区,公办,市实验性示范性高中,全部寄宿,虹口,2
252,512001,上海市实验学校东滩高级中学,崇明区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,虹口,3
253,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,黄浦,8
254,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,黄浦,9
255,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,黄浦,10
256,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,黄浦,11
257,012001,上海市格致中学,黄浦区,公办,市实验性示范性高中,部分寄宿,黄浦,3
258,012003,上海市大同中学,黄浦区,公办,市实验性示范性高中,部分寄宿,黄浦,3
259,012005,上海市向明中学,黄浦区,公办,市实验性示范性高中,无寄宿,黄浦,2
260,012007,上海外国语大学附属大境中学,黄浦区,公办,市实验性示范性高中,部分寄宿,黄浦,3
261,012008,上海市光明中学,黄浦区,公办,市实验性示范性高中,无寄宿,黄浦,3
262,012009,上海市敬业中学,黄浦区,公办,市实验性示范性高中,无寄宿,黄浦,3
263,012010,上海市卢湾高级中学,黄浦区,公办,市实验性示范性高中,部分寄宿,黄浦,3
